basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
radio-FCR-20210627T083707-60,0.924741780335882,0.927473044626665,0.924741780335882,0.976168887487188,0.974414570685169,0.976168887487188,0.927473044626665,EASY,EASY
radio-FCR-20211004T074934-60,0.973253478163827,0.957778439104233,0.957778439104233,0.97569005282345,0.972323487835726,0.97569005282345,0.972323487835726,EASY,EASY
radio-FCR-20211012T032010-60,0.947687086231458,0.917392943936981,0.844632530036579,0.898977625073325,0.918754713818821,0.947687086231458,0.917392943936981,MEDIUM,EASY
radio-FCR-20211030T225430-60,0.899499171491873,0.899499171491873,0.899499171491873,0.896706447468861,0.895943102902571,0.899499171491873,0.899499171491873,HARD,MEDIUM
radio-FCR-20220131T102514-60,0.949722714318724,0.943631816606331,0.937745506752623,0.956828159901409,0.93503042440114,0.956828159901409,0.943631816606331,MEDIUM,EASY
radio-FCR-20220221T115618-60,0.787492652217608,0.783586476287995,0.783586476287995,0.807744088590553,0.811953656825379,0.811953656825379,0.787492652217608,HARD,MEDIUM
radio-FCR-20220313T171139-60,0.902316001849439,0.962720934386953,0.794123801080302,0.93823294523139,0.984973309234584,0.984973309234584,0.93823294523139,EASY,EASY
radio-FCR-20220904T214556-60,0.726263505338456,0.884118093438899,0.692555845470784,0.907919594149986,0.960646133599372,0.960646133599372,0.884118093438899,EASY,MEDIUM
radio-FIF-20210106T121714-60,0.991313751482593,0.994588536942719,0.984267075978511,0.978109956045489,0.964888718342287,0.994588536942719,0.984267075978511,EASY,EASY
radio-FIF-20210116T222221-60,0.987616324597985,0.987616324597985,0.908014748661826,0.988108029356595,0.975778987816649,0.988108029356595,0.987616324597985,EASY,EASY
radio-FIF-20210308T140426-60,0.974754636713065,0.974039771243049,0.973205987208769,0.980445572265552,0.970127253050715,0.980445572265552,0.974039771243049,EASY,EASY
radio-FIF-20211001T033339-60,0.982985771286607,0.980407287510351,0.980407287510351,0.98368215011669,0.998042610855981,0.998042610855981,0.982985771286607,EASY,EASY
radio-FIF-20211107T184016-60,0.967176183649531,0.984844817635121,0.967176183649531,0.973338794660311,0.967325128930759,0.984844817635121,0.967325128930759,EASY,EASY
